id0,cbf_neg,cbfb_neg,cbfbs_neg,cbfbpv_neg,cbfscore_neg,cbfscrub_neg
81725,313,288,76,74,279,81
82492,443,428,43,26,553,217
82790,372,323,52,45,530,163
83454,495,467,82,67,441,155
83835,992,884,80,46,1279,703
83999,368,334,75,96,397,111
88402,200,177,28,21,234,81
90060,583,512,54,37,485,171
90077,382,333,89,96,358,70
90262,253,242,62,66,265,76
92211,539,492,48,31,501,239
92554,516,417,120,136,616,260
92927,1138,1073,135,132,1246,772
93051,344,313,38,26,347,107
93169,160,138,46,34,215,51
94848,316,265,33,36,271,67
95015,353,312,9,1,438,94
95057,313,252,36,27,315,122
97994,343,292,70,66,366,129
98314,317,229,46,32,320,67
98394,627,551,20,4,742,333
99604,271,242,35,28,248,70
114990,416,389,75,69,440,201
116019,1247,1115,85,59,1288,805
116354,403,319,12,3,528,198
117397,854,744,57,29,628,259
118864,194,156,49,48,180,24
122916,407,367,43,25,462,192
125511,291,272,50,38,288,106
125535,803,723,32,5,886,465
125554,525,435,64,60,716,334
126176,252,212,18,14,257,67
126554,751,668,293,295,782,194
126903,752,660,156,91,772,310
127417,687,601,54,44,657,240
127611,149,141,21,16,150,22
128154,289,198,23,13,384,62
129886,301,280,34,27,360,145
129926,264,247,43,44,268,75
130121,626,537,50,54,631,241
130211,217,203,38,35,226,40
130687,156,140,23,16,169,48
131224,265,247,20,15,289,88
133220,767,685,145,149,743,340
139272,436,409,34,26,502,140
