id0,id1,relMeanRMSMotion,relMaxRMSMotion,coregCrossCorr,coregJaccard,coregDice,coregCoverage,negativeVoxelsTS,negativeVoxels,negativeVoxels_basil,nvoldel,normDice,normCoverage,normJaccard,normCrossCorr
116354,20130824x8412,0.195063,2.13747,0.9824657,0.9721201,0.985863,1,249604,588,2783,4,0.9565747,0.9732549,0.9167639,0.9463974
116019,20121001x7298,0.106143,0.272704,0.9692874,0.9517218,0.9752638,1,280299,1310,6290,3,0.947323,0.9565432,0.899918,0.9348999
114990,20120512x6848,0.0398719,0.105485,0.9224186,0.8811212,0.9368043,1,257077,548,4095,2,0.9274,0.9462748,0.864628,0.9110801
117397,20110526x5109,0.140942,0.923481,0.9763391,0.9617896,0.9805227,1,238524,1146,5295,4,0.952498,0.9644072,0.9093042,0.941308
118864,20110512x5010,0.0703619,0.270578,0.9798972,0.9687078,0.9841052,1,153218,220,2059,6,0.9543956,0.9635299,0.9127693,0.9436499
122916,20120119x6311,0.0841744,0.167872,0.9398217,0.906646,0.9510376,1,260190,513,3242,4,0.9265582,0.9421486,0.8631658,0.9098891
125511,20110818x5572,0.0682999,0.380979,0.946645,0.9155795,0.9559295,1,207453,358,2712,4,0.9370553,0.9400942,0.8815653,0.9223733
125535,20121119x7484,0.0545023,0.140147,0.998495,0.9975478,0.9987724,1,240111,864,4293,5,0.9627172,0.9944543,0.9281145,0.954387
125554,20110818x5571,0.0724359,0.192514,0.9577598,0.9325464,0.965096,1,209148,717,3533,7,0.9365411,0.9413788,0.8806556,0.9215966
126176,20111103x5980,0.0598267,0.276515,0.9926067,0.9878092,0.9938672,1,179893,361,2461,4,0.9590328,0.9871273,0.92129,0.9496886
126903,20110806x5511,0.16208,0.702203,0.9533756,0.9268083,0.962014,1,269111,805,3002,3,0.9341596,0.9439987,0.8764536,0.9190067
126554,20110729x5464,0.0420881,0.114485,0.9478679,0.922173,0.9595109,1,281361,934,4207,4,0.9435676,0.9448243,0.8931641,0.9303248
127417,20110812x5546,0.127824,1.34254,0.9587674,0.9366018,0.9672632,1,257602,831,3982,5,0.9438066,0.9456353,0.8935927,0.9306744
127611,20111021x5908,0.107079,1.20199,0.9793074,0.9679515,0.9837148,1,188302,211,2091,3,0.9553771,0.9690012,0.9145665,0.944883
128154,20111212x6172,0.179853,1.38987,0.9667019,0.9463311,0.9724256,1,178833,350,1449,4,0.944873,0.9518589,0.8955064,0.9318777
129886,20111021x5910,0.103309,0.213744,0.9845294,0.9754733,0.9875844,1,216702,291,2538,6,0.9561079,0.9748288,0.9159069,0.9458472
130121,20111209x6151,0.0929088,0.355295,0.9833617,0.9738224,0.9867376,1,244629,745,3483,3,0.9560148,0.9731326,0.915736,0.9457091
129926,20111216x6189,0.0526247,0.595399,0.975157,0.9610611,0.980144,1,191605,324,2740,3,0.9515696,0.9659971,0.9076135,0.9401732
130211,20111119x6070,0.0624108,0.12926,0.9473986,0.9212958,0.9590359,1,220039,268,2478,5,0.9377403,0.947077,0.8827787,0.9233978
130687,20111128x6083,0.085557,0.180974,0.941581,0.9091448,0.9524105,1,169751,214,2114,3,0.9294189,0.9489592,0.8681444,0.9135922
131224,20130624x8167,0.053288,0.161294,0.9842925,0.9749598,0.9873211,1,204278,345,2479,4,0.9574319,0.9785561,0.91834,0.9475308
139272,20130830x8456,0.0778946,0.332775,0.9809676,0.9695446,0.9845368,1,209189,396,3478,4,0.9507953,0.9725743,0.9062057,0.9393088
133220,20120405x6694,0.0800507,0.145235,0.9324942,0.8985737,0.9465776,1,256600,1046,4698,5,0.9237691,0.9498688,0.8583372,0.907025
81725,20120413x6726,0.0945294,0.590981,0.9610388,0.9368516,0.9673964,1,165338,410,2180,3,0.9410079,0.9479827,0.8885882,0.9270985
82492,20100318x3036,0.0594779,0.207523,0.938942,0.9040346,0.9495989,1,268141,628,3942,4,0.921741,0.9366985,0.8548419,0.903939
82790,20100424x3211,0.100806,0.271354,0.9783074,0.9654527,0.9824227,1,205542,462,2782,3,0.9526855,0.9686344,0.9096461,0.9415694
83454,20111010x5853,0.031224,0.076094,0.9673979,0.948466,0.9735515,1,211975,583,3768,3,0.943718,0.9501308,0.8934337,0.9304533
83835,20120331x6671,0.0597061,0.161822,0.9651281,0.9451451,0.9717991,1,318186,1441,5411,4,0.9449643,0.9490567,0.8956705,0.9320138
83999,20100304x2954,0.0523399,0.162779,0.9317543,0.8969918,0.9456992,1,220028,476,3171,4,0.9248735,0.9431569,0.8602462,0.907948
88402,20100528x3346,0.0575716,0.13393,0.988168,0.9807178,0.9902651,1,174704,226,2044,4,0.957605,0.9788857,0.9186585,0.9477486
90077,20100626x3465,0.0744616,0.307856,0.9278439,0.8898871,0.9417357,1,227846,506,3041,3,0.9360648,0.946077,0.8798137,0.921358
90060,20110303x4592,0.107641,1.14138,0.9364776,0.9029291,0.9489887,1,275277,727,4141,6,0.9256791,0.9428984,0.8616411,0.9088853
90262,20100807x3646,0.0676478,0.346339,0.9794897,0.9666721,0.9830537,1,153117,275,2271,3,0.9574167,0.9704794,0.9183119,0.9474046
92211,20100814x3683,0.0383566,0.0946232,0.981946,0.9714075,0.9854964,1,234123,692,3731,6,0.9562203,0.9768068,0.9161131,0.9460178
92927,20120519x6872,0.0345634,0.0784184,0.9379525,0.903519,0.9493144,1,281561,1402,6050,3,0.9336411,0.9449231,0.8755412,0.9184207
93051,20101008x3918,0.0713286,0.152131,0.9557467,0.9306536,0.9640814,1,235584,440,2947,2,0.9363434,0.9372793,0.880306,0.9214107
92554,20101030x4043,0.0485851,0.121949,0.9631373,0.9430557,0.9706934,1,220844,665,3644,4,0.9443701,0.9449055,0.8946034,0.9313452
93169,20101101x4053,0.0556658,0.0957967,0.9880289,0.9805202,0.9901643,1,138204,192,1708,3,0.9568458,0.9789389,0.917262,0.9468228
94848,20100806x3638,0.0694038,0.160417,0.9972306,0.9954452,0.9977174,1,159372,231,1698,3,0.9623418,0.9925135,0.927417,0.9538663
95057,20101113x4119,0.18329,1.35647,0.9772401,0.9628555,0.9810763,1,193430,433,1992,2,0.9526462,0.9666139,0.9095744,0.9415033
95015,20100821x3709,0.779766,5.6172,0.9712021,0.9545183,0.97673,1,221451,337,2135,6,0.9512742,0.9582341,0.9070762,0.939793
98314,20100806x3637,0.0798029,0.349089,0.9978341,0.9964014,0.9981975,1,162362,284,2017,5,0.9614827,0.9947945,0.9258226,0.9529093
97994,20100923x3846,0.0570679,0.177995,0.9630766,0.9426327,0.9704693,1,221632,437,2436,1,0.9430722,0.9460443,0.8922768,0.9297925
