id0,relMeanRMSMotion,relMaxRMSMotion,coregCrossCorr,coregJaccard,coregDice,coregCoverage,negativeVoxelsTS,negativeVoxels,negativeVoxels_basil,nvoldel,normDice,normCoverage,normJaccard,normCrossCorr
86972,0.076275,0.20925,0.9882659,0.9806417,0.9902263,1,6976,10,51,6,0.9033942,0.9886629,0.8238094,0.8729618
85083,13.4827,129.7,0.9610678,0.9391101,0.968599,1,138473,8711,19616,12,0.8966153,0.9553037,0.8126045,0.8616848
88770,0.23159,2.62314,0.9792191,0.966872,0.983157,1,5662,0,2,2,0.8956067,0.9703396,0.8109491,0.8613278
87346,0.198476,1.64986,0.9667828,0.9473721,0.9729749,1,25111,46,281,5,0.9005259,0.9640013,0.8190514,0.8673114
91962,0.110625,0.232864,0.9916092,0.9865881,0.9932488,1,13763,22,190,4,0.9010078,0.9907071,0.8198491,0.8700988
81725,0.101831,0.177,0.9805326,0.9681481,0.9838163,1,2992,8,44,3,0.8971589,0.9782143,0.8134979,0.8639789
84688,0.441663,1.04941,0.990673,0.984658,0.9922697,1,17770,45,135,4,0.8973611,0.9937755,0.8138304,0.8657534
87646,0.135251,0.675461,0.9739689,0.9587175,0.9789237,1,7089,3,20,2,0.895005,0.9629552,0.809963,0.8600204
92193,0.0475303,0.0955128,0.9600143,0.9403553,0.969261,1,8897,4,38,3,0.8886131,0.9386307,0.7995533,0.8503733
89279,0.0731843,0.374398,0.9747221,0.9602717,0.9797333,1,12329,41,166,2,0.8972842,0.9711319,0.8137039,0.8635687
89377,0.0686661,0.264465,0.9925039,0.9880311,0.9939795,1,9574,25,85,4,0.9083677,0.9930839,0.8321187,0.879771
87601,0.056721,0.117979,0.9945976,0.991128,0.9955442,1,11071,32,79,2,0.9051346,0.9956271,0.8267086,0.8758834
87563,0.0958668,0.43071,0.9786255,0.9663167,0.9828699,1,10584,20,92,6,0.9028587,0.9793962,0.8229193,0.871451
90077,0.116771,0.461204,0.9384648,0.9051905,0.9502362,1,9459,5,57,2,0.8799189,0.9141311,0.785585,0.8382431
88402,0.10478,0.302649,0.9965814,0.9943992,0.9971917,1,9722,19,109,2,0.9015317,0.995916,0.820717,0.8713098
85369,0.135536,0.392036,0.9692665,0.9515068,0.9751509,1,17916,132,352,3,0.9047267,0.9695517,0.8260283,0.8731554
86722,0.157944,1.42053,0.9840469,0.9749124,0.9872969,1,16259,47,163,3,0.904365,0.9748745,0.8254255,0.8730532
84761,0.0861547,0.252453,0.8827559,0.8170664,0.8993248,1,35345,368,813,2,0.881439,0.9223254,0.7880116,0.8403693
80557,0.0892399,0.168378,0.9964838,0.9941657,0.9970743,1,5782,31,129,1,0.8979763,0.9966207,0.814843,0.8668515
83835,0.123656,0.750025,0.9804368,0.9688079,0.9841569,1,12110,38,132,4,0.9013309,0.9762139,0.8203843,0.8692156
92211,0.0606973,0.149338,0.99694,0.9951095,0.9975488,1,4847,10,35,2,0.9018848,0.9962706,0.8213025,0.8717987
92927,0.0569563,0.110849,0.9797447,0.9679345,0.983706,1,16314,41,143,3,0.9021628,0.9695605,0.8217637,0.8698094
93274,0.0903942,0.361536,0.9720118,0.9551276,0.9770488,1,6638,2,27,2,0.8909675,0.9652489,0.8033736,0.8549092
93549,0.10881,0.346542,0.985074,0.9764452,0.9880823,1,13475,7,71,4,0.8989765,0.9830687,0.8164916,0.8667557
93856,0.0844683,0.179484,0.9790449,0.9666161,0.9830247,1,6133,8,23,5,0.8991427,0.9789585,0.8167658,0.8666072
95057,0.142722,0.430539,0.9867941,0.9783019,0.9890319,1,16060,47,148,7,0.8985653,0.9872446,0.8158136,0.866622
95460,0.0653332,0.167844,0.9798904,0.9683926,0.9839426,1,10915,24,93,3,0.9017433,0.9793743,0.8210679,0.8700057
96659,0.0770889,0.182831,0.9927437,0.9888414,0.9943894,1,4803,6,28,2,0.905553,0.990532,0.8274069,0.8759132
97271,0.113763,0.23112,0.986237,0.9779667,0.9888606,1,1567,1,1,3,0.8995173,0.9832526,0.8173842,0.8674693
97092,0.0731118,0.183862,0.9940925,0.9903308,0.9951419,1,8925,8,47,5,0.9028018,0.9966295,0.8228247,0.8730079
97485,0.161344,0.465386,0.9797639,0.9675347,0.9834995,1,11646,17,98,5,0.8987282,0.981204,0.8160822,0.8662674
97994,0.0859665,0.174607,0.9798955,0.9688442,0.9841756,1,573,0,0,2,0.9036746,0.9730404,0.8242758,0.8720219
98567,0.0872864,0.270417,0.9815055,0.9710232,0.9852986,1,5081,11,63,1,0.9021856,0.9821057,0.8218017,0.8708093
98871,0.152389,1.36401,0.9813385,0.9705906,0.9850758,1,18444,16,137,2,0.9014863,0.96865,0.8206419,0.8688653
99604,0.12978,0.313231,0.9757684,0.961759,0.9805068,1,710,0,0,2,0.8925334,0.9655115,0.8059235,0.8569692
99949,0.158625,0.542775,0.9912516,0.9856287,0.9927623,1,8535,36,88,4,0.8964349,0.9934385,0.8123081,0.8645341
102041,0.0803007,0.219292,0.970283,0.952961,0.975914,1,10847,19,93,1,0.8980343,0.9676826,0.8149385,0.8642955
104235,0.0863811,1.0799,0.9825222,0.9724251,0.9860198,1,9194,9,29,5,0.9009431,0.9745024,0.819742,0.8685793
104785,0.0788466,0.129404,0.9689633,0.9508941,0.974829,1,12014,17,91,3,0.8868473,0.9494382,0.7966986,0.8485074
105168,0.0731061,0.344733,0.9849824,0.9764289,0.9880739,1,15935,25,157,5,0.9016651,0.9853537,0.8209382,0.8704283
105176,0.0519136,0.251066,0.9875247,0.9803157,0.99006,1,8315,27,83,5,0.901269,0.988641,0.8202817,0.8702298
